Mfr Name,Division,Model,Mfr Model Index,Engine Displacement (liters), Cylinders,Transmission, Gears,City Mileage (mpg),Highway Mileage (mpg),Combined Mileage (mpg),Hybrid or Guzzler?,Air Aspiration Method,Transmission Desc,Drive Wheels,Fuel Usage,Fuel Metering System
Honda,Acura,NSX,3,3.5,6,A,9,21,22,21,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
FCA US LLC,Alfa Romeo,4C,36,1.8,4,A,6,24,34,28,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Aston Martin,Aston Martin,V12 Vantage S,2,6,12,A,7,12,18,14,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Aston Martin,Aston Martin,V12 Vantage S,3,6,12,M,7,10,16,12,Guzzler Tax,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Volkswagen Group,Audi,R8,3,5.2,10,A,7,14,22,17,Guzzler Tax,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDPI (Spark Ignition direct & ported injection)
Volkswagen Group,Audi,R8 Spyder,4,5.2,10,A,7,14,22,17,Guzzler Tax,Naturally Aspirated,Automated Manual,All Wheel Drive,Gasoline (Premium Unleaded Recommended),GDPI (Spark Ignition direct & ported injection)
Volkswagen Group,Audi,TT Roadster quattro,61,2,4,A,6,23,30,26,No,Turbocharged,Automated Manual,All Wheel Drive,Gasoline (Regular Unleaded Recommended),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CORVETTE,228,6.2,8,A,8,13,23,16,Guzzler Tax,Supercharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CORVETTE,189,6.2,8,A,8,15,26,19,No,Naturally Aspirated,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CORVETTE,223,6.2,8,M,7,15,22,18,No,Supercharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
General Motors,Chevrolet,CORVETTE,190,6.2,8,M,7,16,25,19,No,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
FCA US LLC,Dodge,Viper,66,8.4,10,M,6,12,19,14,Guzzler Tax,Naturally Aspirated,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),MFI (Multipoint/sequential fuel injection)
Ferrari,Ferrari,488 gtb,143,3.9,8,A,7,16,22,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,488 gtb,142,3.9,8,A,7,15,22,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,488 Spider,145,3.9,8,A,7,16,22,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,488 Spider,144,3.9,8,A,7,15,22,18,No,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,F12 Berlinetta,153,6.3,12,A,7,12,16,13,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,F12 Berlinetta,154,6.3,12,A,7,12,16,13,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,F12 tdf,156,6.3,12,A,7,11,15,13,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,F12 tdf,155,6.3,12,A,7,11,15,12,Guzzler Tax,Naturally Aspirated,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
Ferrari,Ferrari,LaFerrari Aperta,999,6.3,12,A,7,12,15,13,Guzzler Tax,Naturally Aspirated,Automated Manual,4 Wheel Drive,Gasoline (Premium Unleaded Required),GDI (Spark Ignition Direct Injection)
FCA US LLC,Fiat,124 Spider,24,1.4,4,A,6,25,36,29,No,Turbocharged,Automatic,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
FCA US LLC,Fiat,124 Spider,25,1.4,4,M,6,26,35,30,No,Turbocharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),MFI (Multipoint/sequential fuel injection)
Ford Motor Company,Ford,Ford GT,343,3.5,6,A,7,11,18,14,Guzzler Tax,Turbocharged,Automated Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Required),GDPI (Spark Ignition direct & ported injection)
Jaguar Land Rover L,Jaguar,F-TYPE Convertible,161,3,6,A,8,20,28,23,No,Supercharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE Convertible Manual,171,3,6,M,6,16,24,19,No,Supercharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE Coupe,160,3,6,A,8,20,28,23,No,Supercharged,Automatic - Selectable,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
Jaguar Land Rover L,Jaguar,F-TYPE Coupe Manual,170,3,6,M,6,16,24,19,No,Supercharged,Manual,Rear Wheel Drive,Gasoline (Premium Unleaded Recommended),GDI (Spark Ignition Direct Injection)
